,name,price,ingPrice,profit,percentGain,ingredients
,Champiñones al Ajillo,"20,040","16,700","3,340",20%,"1× Round Mushroom, 1× Flat Mushroom, 1× Skinny Mushroom, 1× Rare Mushroom"
,Spaghetti Napolitan,"2,210","1,890",320,17%,"3× Flour, 1× Tomato Puree"
,Spaghetti Marinara,"2,210","1,890",320,17%,"3× Flour, 1× Tomato Puree"
,Spooky Cookies,"1,820","1,610",210,13%,"1× Flour, 1× Orange Pumpkin, 1× Yellow Pumpkin, 1× White Pumpkin, 1× Green Pumpkin"
,Fruit Pizza,"2,500","2,730",-230,-8%,"3× Flour, 1× Apple, 1× Orange, 1× Pear, 1× Peach, 1× Cherry"
,Mixed-Fruits Pie	,"2,500","2,730",-230,-8%,"3× Flour, 1× Apple, 1× Orange, 1× Pear, 1× Peach, 1× Cherry"
,Mixed-Fruits Bagel Sandwich,"2,180","2,520",-340,-13%,"2× Flour, 1× Apple, 1× Orange, 1× Pear, 1× Peach, 1× Cherry"
,Fruit Scones,"2,180","2,520",-340,-13%,"2× Flour, 1× Apple, 1× Orange, 1× Pear, 1× Peach, 1× Cherry"
,Fruit-Topped Pancakes,"2,180","2,520",-340,-13%,"2× Flour, 1× Apple, 1× Orange, 1× Pear, 1× Peach, 1× Cherry"
,Mixed-Fruits Crepe,"2,180","2,520",-340,-13%,"2× Flour, 1× Apple, 1× Orange, 1× Pear, 1× Peach, 1× Cherry"
,Fruit Cupcakes,"1,870","2,310",-440,-19%,"1× Flour, 1× Apple, 1× Orange, 1× Pear, 1× Peach, 1× Cherry"
,Mixed-Fruits Tart	,"1,870","2,310",-440,-19%,"1× Flour, 1× Apple, 1× Orange, 1× Pear, 1× Peach, 1× Cherry"
,Turnip Salad,680,900,-220,-24%,"1× 10 Turnips, 1× Tomato"
,Fruit Salad,"1,550","2,100",-550,-26%,"1× Apple, 1× Orange, 1× Pear, 1× Peach, 1× Cherry"
,Kabu Ankake,450,900,-450,-50%,1× 10 Turnips
